prop_address_zipcode_1,pin,year,board_tot,board_tot_num
60618,13242050190000,2019,53433,53433
60618,13243210100000,2019,55407,55407
60618,13234080550000,2017,19403,19403
60618,14193100310000,2017,58091,58091
60618,14193130090000,2020,66529,66529
60618,13133020441001,2020,8874,8874
60618,13262020370000,2017,26614,26614
60618,13252000030000,2017,33289,33289
60618,13261260300000,2016,24791,24791
60618,13251240400000,2016,60772,60772
60618,13262010340000,2019,31606,31606
60618,14191230160000,2017,74552,74552
60618,13232130461007,2019,18585,18585
60618,14193250070000,2020,61620,61620
60618,13241120200000,2020,46999,46999
60618,13231130301011,2020,16531,16531
60618,13241270401018,2020,12408,12408
60618,14193170190000,2020,62768,62768
60618,13233120210000,2020,5070,5070
60618,13243060030000,2020,30345,30345
60618,13241280290000,2020,33281,33281
60618,13231270070000,2020,47055,47055
60618,14183210601065,2020,2387,2387
60618,13242080310000,2020,45819,45819
60618,13233180270000,2017,35577,35577
60618,13133230481005,2020,16838,16838
60618,13134180270000,2020,63602,63602
60618,14193110040000,2020,43331,43331
60618,13261300070000,2017,0,0
60618,13231280360000,2017,50409,50409
60618,14193190491003,2017,27000,27000
60618,14301190541002,2017,27700,27700
60618,13144190080000,2019,45726,45726
60618,14183210290000,2017,81927,81927
60618,13113240351011,2016,11563,11563
60618,13231120341005,2016,17637,17637
60618,13261020180000,2016,30697,30697
60618,14301140240000,2020,35784,35784
60618,14301190521058,2016,2134,2134
60618,13262280170000,2020,20841,20841
60618,14301100330000,2020,45061,45061
60618,13252250511001,2020,16633,16633
60618,13252100431006,2016,16928,16928
60618,13233030030000,2016,58355,58355
60618,14193290200000,2017,54446,54446
60618,14191070261002,2019,27710,27710
60618,13261210390000,2019,30604,30604
60618,13241280040000,2019,34646,34646
60618,13133050230000,2019,29765,29765
60618,13134140190000,2019,109838,109838
60618,13243070110000,2017,30669,30669
60618,13251120190000,2019,9572,9572
60618,13143210141013,2019,18925,18925
60618,13262000481005,2020,31813,31813
60618,13261220711007,2016,27273,27273
60618,13252180230000,2016,7687,7687
60618,14193090090000,2020,78114,78114
60618,13144260030000,2020,26092,26092
60618,13134050441002,2020,16986,16986
60618,13144200250000,2020,31049,31049
60618,13244050040000,2017,26179,26179
60618,13144260380000,2018,26062,26062
60618,13134120030000,2018,69839,69839
60618,13251100400000,2019,73062,73062
60618,13144180481011,2019,12466,12466
60618,13262160770000,2017,36659,36659
60618,13243040420000,2017,43280,43280
60618,13143130170000,2020,3436,3436
60618,13133030381001,2020,9629,9629
60618,13144290481049,2020,18005,18005
60618,14301020120000,2016,76550,76550
60618,13231230010000,2016,31666,31666
60618,14183230121064,2020,21954,21954
60618,13133180110000,2016,26511,26511
60618,13143070401015,2018,17801,17801
60618,13251160250000,2016,34000,34000
60618,14301061061001,2016,34413,34413
60618,13241300170000,2016,36535,36535
60618,13134130250000,2016,39614,39614
60618,14191310471003,2016,39985,39985
60618,13231010110000,2016,716,716
60618,13133290120000,2020,29300,29300
60618,14183230121063,2020,22523,22523
60618,14183190521001,2020,38333,38333
60618,14193210070000,2016,32406,32406
60618,14183140370000,2020,56969,56969
60618,13243180350000,2020,36000,36000
60618,13243230161014,2017,9530,9530
60618,13233000311017,2017,16715,16715
60618,13133210050000,2017,24835,24835
60618,13262170120000,2019,920,920
60618,13243070240000,2020,32538,32538
60618,13241280430000,2020,40968,40968
60618,13243050260000,2020,103132,103132
60618,13233080230000,2019,43880,43880
60618,14183000470000,2020,59342,59342
60618,14183020280000,2020,66553,66553
60618,13234060280000,2020,23515,23515
60618,13243050290000,2020,1156574,1156574
60618,13243130400000,2017,37500,37500
60618,13133060260000,2017,42351,42351
60618,13241040160000,2017,30973,30973
60618,14193160450000,2017,20857,20857
60618,14193210250000,2016,112678,112678
60618,13143070110000,2019,26578,26578
60618,13143070200000,2016,25250,25250
60618,14191070020000,2016,64006,64006
60618,13241000170000,2016,35680,35680
60618,14183190200000,2016,48299,48299
60618,13242040370000,2020,22608,22608
60618,13144290481063,2018,1363,1363
60618,13232270140000,2019,36197,36197
60618,13143290100000,2016,42664,42664
60618,14193210451005,2016,142088,142088
60618,14191220260000,2016,52251,52251
60618,14193200670000,2020,77610,77610
60618,13252160230000,2020,52376,52376
60618,13233170300000,2020,27619,27619
60618,13234070060000,2018,34007,34007
60618,13233190200000,2018,33120,33120
60618,13244060471057,2018,3046,3046
60618,13144280421002,2018,19622,19622
60618,14191180360000,2018,62814,62814
60618,13143330130000,2020,52913,52913
60618,13134010461015,2020,22947,22947
60618,14301060090000,2020,59015,59015
60618,13143020280000,2020,30949,30949
60618,14183200401012,2019,33476,33476
60618,13241050060000,2020,58065,58065
60618,14183110360000,2020,59521,59521
60618,13144040270000,2016,32569,32569
60618,14193310060000,2019,115661,115661
60618,14183170280000,2017,43872,43872
60618,13134130411006,2017,34655,34655
60618,13143230030000,2017,28525,28525
60618,13133300311065,2017,1412,1412
60618,13262170240000,2020,28278,28278
60618,14191140140000,2017,76390,76390
60618,13232080190000,2019,43990,43990
60618,14193010020000,2019,62192,62192
60618,14191280130000,2018,66320,66320
60618,14193010150000,2017,55731,55731
60618,13261090130000,2016,37162,37162
60618,13243130030000,2018,46720,46720
60618,14193270470000,2018,177795,177795
60618,13143050310000,2019,30778,30778
60618,13241110330000,2019,27284,27284
60618,14183190070000,2020,56814,56814
60618,14301090050000,2019,45725,45725
60618,13231280550000,2017,4349,4349
60618,13262160300000,2020,28721,28721
60618,13133310411001,2020,33677,33677
60618,13133250381029,2019,12711,12711
60618,13262150340000,2019,51974,51974
60618,13244060451014,2019,15202,15202
60618,13232160060000,2017,35913,35913
60618,13233110420000,2017,37283,37283
60618,13233180050000,2020,39828,39828
60618,13133250350000,2016,77644,77644
