prop_address_zipcode_1,pin,year
60618,13144280421002,2018
60618,14191180360000,2018
60618,13233150330000,2022
60618,13242020471006,2022
60618,13143330130000,2020
60618,13134010461015,2020
60618,14301060090000,2020
60618,13143020280000,2020
60618,14183200401012,2019
60618,13241050060000,2020
60618,14183110360000,2020
60618,13144040270000,2016
60618,14193310060000,2019
60618,14183170280000,2017
60618,13134130411006,2017
60618,13143230030000,2017
60618,13134170481006,2021
60618,14301000371001,2021
60618,13133300311065,2017
60618,13262170240000,2020
60618,13233290170000,2021
60618,13143280140000,2021
60618,14191120280000,2021
60618,13242090320000,2022
60618,14191140140000,2017
60618,13134170481010,2021
60618,13143210171011,2021
60618,13242030250000,2022
60618,13144230240000,2022
60618,13133270311009,2022
60618,14191290030000,2021
60618,13134020280000,2021
60618,13232080190000,2019
60618,13134160341003,2022
60618,14193270170000,2022
60618,13144120010000,2022
60618,13133120070000,2021
60618,14193010050000,2021
60618,14193010020000,2019
60618,14191280130000,2018
60618,14193010150000,2017
60618,13261090130000,2016
60618,13243130030000,2018
60618,14193270470000,2018
60618,13243160361001,2021
60618,13143050310000,2019
60618,13241110330000,2019
60618,14183190070000,2020
60618,13141070210000,2021
60618,14301090050000,2019
60618,13231280550000,2017
60618,13262160300000,2020
60618,13133310411001,2020
60618,13133250381029,2019
60618,13262150340000,2019
60618,13133160250000,2021
60618,13262170861011,2021
60618,13244060451014,2019
60618,13241230030000,2022
60618,13232160060000,2017
60618,13233110420000,2017
60618,14191290010000,2021
60618,13233180050000,2020
60618,13133250350000,2016
60618,13251170370000,2020
60618,13261000301225,2020
60618,14301060941003,2020
60618,13243220340000,2016
60618,14301220160000,2020
60618,13261000301139,2020
60618,14191250401006,2020
60618,13144120431007,2019
60618,13261020240000,2019
60618,13261160540000,2021
60618,13133310421010,2021
60618,13131290391035,2021
60618,14191260380000,2017
60618,13133250371011,2016
60618,13251270200000,2016
60618,13261180290000,2016
60618,14183130170000,2020
60618,14184160390000,2022
60618,13233280170000,2021
60618,14301180301024,2020
60618,14191250401004,2020
60618,14191220410000,2017
60618,13231050310000,2019
60618,13144220421003,2019
60618,13252000310000,2019
60618,14191180280000,2019
60618,13261020350000,2021
60618,14301160350000,2019
60618,13243170080000,2017
60618,13242040010000,2017
60618,14183210601053,2017
60618,13233180280000,2017
60618,13261100240000,2021
60618,14301080010000,2021
60618,13261300020000,2018
60618,14191120090000,2018
60618,14183090440000,2018
60618,14183210601012,2018
60618,13242000680000,2022
60618,13251020401005,2020
60618,13143160240000,2022
60618,14301190461010,2022
60618,13261000301081,2016
60618,13261120320000,2017
60618,13134130380000,2017
60618,13134040310000,2018
60618,14183210601067,2018
60618,14191250030000,2018
60618,13143190210000,2016
60618,14191250130000,2016
60618,13261200280000,2016
60618,13261000301015,2016
60618,13134170481018,2020
60618,13144300240000,2018
60618,13262250180000,2022
60618,13143040040000,2016
60618,13251110120000,2022
60618,13144230200000,2018
60618,13262130160000,2021
60618,14301170411031,2021
60618,13261060421003,2019
60618,13243190451003,2019
60618,13234080090000,2019
60618,13144080360000,2019
60618,14183280031063,2019
60618,13262100360000,2019
60618,13144290481069,2016
60618,13242020330000,2016
60618,13241080411005,2016
60618,13232030280000,2020
60618,13144040311002,2020
60618,14183100370000,2020
60618,13143210141010,2020
60618,13134160321001,2017
60618,14191300020000,2019
60618,13232070200000,2017
60618,14301060540000,2017
60618,13144160220000,2017
60618,13252170320000,2020
60618,13234090600000,2020
60618,14191080401010,2021
60618,14193060050000,2020
